skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
Azure, Writing skills, English, Google Cloud Platform, Information security, AWS, Cloud computing, Cybersecurity, German;;0;none;0.85;0.85;;0;aws, azure, ceh, cloud computing, cloud native, cloud security, cybersecurity, edr, gcp, giac, information security, measures, mitre att&ck, oscp, penetration testing, siem, soc, solid, threat detection, threat intelligence;collaboration, communication, flexibility, innovation, integrity, mentoring, organization, problem solving, teamwork;;-;-;1;aws, azure, ceh, cloud computing, cloud native, cloud security, cybersecurity, edr, gcp, giac, information security, measures, mitre att&ck, oscp, penetration testing, siem, soc, solid, threat detection, threat intelligence;collaboration, communication, flexibility, innovation, integrity, mentoring, organization, problem solving, teamwork;;;32;Cyber Security Specialist - Security Engineer (f/m/d);Frankfurt am Main;11878.0;Deutsche Börse;315;EUR;;;;;4.2;2025-09-25T00:00:00;;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;Dr. Stephan Leithner;Eschborn, Deutschland;Börse;Finanzen;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1990.0;Unknown;Security;K;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
IT, Cybersecurity, VPN;;0;none;0.78;0.78;;0;cybersecurity, firewall, linux, routing, switching, vpn, windows;flexibility;;Associate;2;1;cybersecurity, firewall, linux, routing, switching, vpn, windows;flexibility;;;33;Cyber Security Engineer (m/w/d);Frankfurt am Main;;c.cure - Geschäftsbereich der Megamaris GmbH;10;EUR;ANNUAL;50000.0;65000.0;80000.0;;2025-09-26T00:00:00;;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;;;;;;;;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;;
English, IT, Cybersecurity;;0;none;0.82;0.82;;0;cybersecurity, siem, soc, threat hunting;;;-;-;1;cybersecurity, siem, soc, threat hunting;;;;34;Cyber Security Engineer – Analyst SOC/SIEM (m/w/d);Deutschland;6217494.0;NOVELLUS Integrierte Dienste GmbH;248;EUR;;;;;3.0;2025-09-30T00:00:00;;;;;Germany;51.0;9.0;;Frankfurt am Main, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
Microsoft Access, Azure, Oracle, Load balancing, DevOps, English, Information security, AWS, Nessus, Burp Suite, SIEM, Linux, Cybersecurity, Communication skills, Dutch, Identity & access management;;0;none;0.82;0.82;;0;api security, aws, azure, cissp, cybersecurity, devops, dns, elk stack, iam, information security, linux, load balancing, measures, network security, reporting, requests, security operations, siem, threat hunting, threat intelligence, unix, windows;communication;;Associate;-;1;api security, aws, azure, cissp, cybersecurity, devops, dns, elk stack, iam, information security, linux, load balancing, measures, network security, reporting, requests, security operations, siem, threat hunting, threat intelligence, unix, windows;communication;;;35;Cyber Security Engineer;Weingarten;1562443.0;Tiro Partners;317;EUR;;;;;4.3;2025-09-23T00:00:00;;;Weingarten;North Rhine-Westphalia;Germany;50.933594;6.961899;William Excell and Paul Conaghan;London, Vereinigtes Königreich;IT-Kundenbetreuung;Informationstechnologie;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;2012.0;Unknown;Security;J;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;;
Internet of things, Microsoft Office, Cybersecurity, Communication skills;;0;none;0.92;0.92;;0;ccnp, cisa, cism, cissp, cybersecurity, gdpr, iso27001, measures, network security, networking, rest;communication, flexibility, innovation, teamwork;;-;-;1;ccnp, cisa, cism, cissp, cybersecurity, gdpr, iso27001, measures, network security, networking, rest;communication, flexibility, innovation, teamwork;;;36;Network & Cyber Security Engineer (m/f/d)*;Neutraubling;10660.0;Krones AG;85;EUR;;;;;4.1;2025-09-14T00:00:00;;;Neutraubling;Bayern;Germany;48.990295;12.200936;Christoph Klenk;Neutraubling, Deutschland;Fertigungsbetriebe;Produktion;weniger als 1 Million $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1951.0;Unknown;Security;C;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
English, Organizational skills, IT, Cybersecurity, German, Active Directory;;0;none;0.92;0.92;;0;active directory, cybersecurity, dns, incident response, pci dss, siem, xdr;flexibility, innovation, organization;;Associate;-;1;active directory, cybersecurity, dns, incident response, pci dss, siem, xdr;flexibility, innovation, organization;;;37;Cyber Security Engineer (m/w/d);Frankfurt am Main;951923.0;DERTOUR Group;67;EUR;;;;;3.5;2025-09-30T00:00:00;Full-time;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;Dr. Ingo Burmester;Frankfurt am Main, Deutschland;Reisebüros;Hotel & Unterbringung;Unbekannt/Nicht zutreffend;5.001 bis 10.000 Mitarbeiter;Privatunternehmen;1918.0;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
English, Software development, Agriculture, Cybersecurity, German;;0;none;0.92;0.92;;0;cybersecurity, https, software engineering;flexibility, organization;bachelor;Master's;-;1;cybersecurity, https, software engineering;flexibility, organization;;;38;Duales Masterstudium Cyber Security Engineer (M.Sc.) - Erlangen/Forchheim;Erlangen;1317005.0;Siemens Healthineers;5;EUR;MONTHLY;2310.0;2310.0;2310.0;4.0;2025-10-01T00:00:00;Full-time, Temporary;;Erlangen;Bayern;Germany;49.595135;11.00498;Bernd Montag;Erlangen, Deutschland;Biotechnologie;Pharmazeutika & Biotechnologie;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1847.0;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
IP networking, Cybersecurity;;0;none;0.92;0.92;;0;cybersecurity, networking;communication, flexibility, innovation, teamwork;bachelor;Bachelor's;0;1;cybersecurity, networking;communication, flexibility, innovation, teamwork;;;39;Junior Systems Engineer for Germany / Berlin;Berlin;427189.0;Motorola Solutions;124;EUR;;;;;4.3;2025-10-04T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;Gregory Q. Brown;Chicago, Vereinigte Staaten von Amerika;Softwareentwicklung;Informationstechnologie;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1928.0;Unknown;Systems & Embedded;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
IT, Cybersecurity;;0;ai_integration;0.75;0.75;AI-powered security solutions;0;cybersecurity;innovation;;-;-;0;cybersecurity;innovation;;;40;IT Cyber Security Engineer (w/m/d);Hille;37895.0;Bücker IT-Security GmbH;98;EUR;;;;;3.3;2025-10-01T00:00:00;;;Hille;Nordrhein-Westfalen;Germany;52.337196;8.743508;Dr. Thomas Olemotz;Neckarsulm, Deutschland;IT-Kundenbetreuung;Informationstechnologie;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1983.0;Unknown;Security;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, Splunk, SIEM, Python, German;;0;ai_integration;0.75;0.75;AI-powered automation;0;edr, mitre att&ck, python, siem, splunk, threat intelligence, vulnerability management, xdr;;;Associate;5;0;edr, mitre att&ck, python, siem, splunk, threat intelligence, vulnerability management, xdr;;;;41;Security Analyst & Engineer (all genders);Berlin;1258649.0;gematik GmbH;7;EUR;;;;;3.4;2025-09-29T00:00:00;Full-time, Part-time;;Berlin;Berlin;Germany;52.51767;13.405538;Dr. med. Markus Leyck Dieken;Berlin, Deutschland;;;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Unbekannt;2005.0;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, Cybersecurity, German, VPN;;0;none;0.92;0.92;;0;cybersecurity, firewall, networking, vpn;;;Associate;5;1;cybersecurity, firewall, networking, vpn;;;;42;Cyber Security Engineer (w/m/d) - Netzwerk Security mit Fortinet und E-Mail Security;Weingarten;252108.0;TÜV Rheinland Group;35;EUR;;;;;3.7;2025-10-01T00:00:00;Full-time;;Weingarten;North Rhine-Westphalia;Germany;50.933594;6.961899;Michael Fübi;Köln, Deutschland;Sicherheit & Zivilschutz;Management & Beratung;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1872.0;Unknown;Security;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
Azure, Ansible, DevOps, GitHub, Python;;0;none;0.92;0.92;;0;ansible, azure, azure pipelines, continuous deployment, devops, github, https, openshift, python, siem, virtual machines;flexibility, innovation;;Associate;3;1;ansible, azure, azure pipelines, continuous deployment, devops, github, https, openshift, python, siem, virtual machines;flexibility, innovation;;;43;DevOps Engineer - Cyber Defense Center (m/w/d);Niedernhall;12888.0;Würth IT GmbH;5;EUR;;;;;3.5;2025-10-01T00:00:00;Full-time;;Niedernhall;Baden-Württemberg;Germany;49.29566;9.614213;Robert Friedmann;Künzelsau, Deutschland;IT-Kundenbetreuung;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;1945.0;Unknown;Security;J;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;;
CI/CD, Azure, Windows, Scripting, Linux, Cybersecurity, Python, PowerShell;;0;none;0.92;0.92;;0;azure, bash, ci/cd, cloud infrastructure, computer vision, cybersecurity, devops, foundation, linux, powershell, python, windows;analytical skills, collaboration, flexibility, initiative, innovation, integrity, responsibility, teamwork;;Associate;3;1;azure, bash, ci/cd, cloud infrastructure, computer vision, cybersecurity, devops, foundation, linux, powershell, python, windows;analytical skills, collaboration, flexibility, initiative, innovation, integrity, responsibility, teamwork;;;44;CYBER DEFENCE ENGINEER (D/F/M);München;3059.0;Airbus Protect GmbH;40;EUR;;;;;4.2;2025-09-27T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;Guillaume Faury;Toulouse, Frankreich;Luftfahrt & Verteidigung;Luft- & Raumfahrt, Verteidigung;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1970.0;Unknown;Security;C;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;;
Information security, IT, Cybersecurity, Leadership;;0;none;0.92;0.92;;0;cisa, cism, cissp, cybersecurity, encryption, gdpr, ids, incident response, information security, iso27001, measures, networking, nist, security operations, soc, solid;accountability, collaboration, flexibility, initiative, innovation, integrity, leadership, ownership, resilience, responsibility;;Bachelor's;5;1;cisa, cism, cissp, cybersecurity, encryption, gdpr, ids, incident response, information security, iso27001, measures, networking, nist, security operations, soc, solid;accountability, collaboration, flexibility, initiative, innovation, integrity, leadership, ownership, resilience, responsibility;;;45;Senior Cyber Security Engineer (gn);Stuttgart;1054837.0;Boerse Stuttgart Group;46;EUR;;;;;4.0;2025-09-21T00:00:00;Full-time;;Stuttgart;Baden-Württemberg;Germany;48.775818;9.177734;;Berlin, Deutschland;Börse;Finanzen;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Security;K;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
Azure, English, Cybersecurity;;0;none;0.92;0.92;;0;azure, cissp, cloud security, cybersecurity, edr, incident response, siem;flexibility, innovation;;Associate;-;1;azure, cissp, cloud security, cybersecurity, edr, incident response, siem;flexibility, innovation;;;46;Cyber Security Engineer (w/m/d);Frankfurt am Main;1786724.0;Apleona;13;EUR;;;;;3.4;2025-09-23T00:00:00;Full-time;;Frankfurt am Main;Hesse;Germany;50.11088;8.682433;Dr. Jochen Keysberg;Neu-Isenburg, Deutschland;Immobilien;Immobilien;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;2016.0;Unknown;Security;Unknown;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, C++, C, Software development, Cybersecurity, Python, PowerShell, German;;0;none;0.92;0.92;;0;bash, c++, cybersecurity, powershell, python, software engineering;resilience;;Associate;5;1;bash, c++, cybersecurity, powershell, python, software engineering;resilience;;;47;Embedded Systems Cyber Security Engineer (m/w/d);Hamburg;3029584.0;PICKPLACE Consulting GmbH;90;EUR;ANNUAL;72000.0;82000.0;92000.0;-0.100000001;2025-09-08T00:00:00;;;Hamburg;Hamburg;Germany;53.55068;9.99697;;Hamburg, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;;
Computer science, Java, SQL, Cybersecurity, Python;;0;none;0.92;0.92;;0;cybersecurity, java, penetration testing, python, sql, threat hunting, vulnerability management;innovation, integrity;;Bachelor's;0;1;cybersecurity, java, penetration testing, python, sql, threat hunting, vulnerability management;innovation, integrity;;;48;JUNIOR VULNERABILITY MANAGEMENT SPECIALIST;Deutschland;8262634.0;Zync Group;249;EUR;ANNUAL;65000.0;65000.0;65000.0;-0.100000001;2025-09-30T00:00:00;Full-time;;;;Germany;51.0;9.0;;Manchester, Vereinigtes Königreich;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Other;Unknown;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;;
Microsoft Windows Server, English, IT, Cybersecurity, German, Active Directory;;0;none;0.92;0.92;;0;active directory, cybersecurity, routing, windows server;flexibility;;Bachelor's;-;1;active directory, cybersecurity, routing, windows server;flexibility;;;49;Cyber Security Engineer (all gender);Erlangen;12800.0;ALTEN Consulting Services GmbH;96;EUR;;;;;3.4;2025-10-02T00:00:00;Full-time;;Erlangen;Bayern;Germany;49.595135;11.00498;Simon Azoulay;Boulogne-Billancourt, Frankreich;Forschung & Entwicklung;Management & Beratung;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1988.0;Unknown;Security;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;;
Kubernetes, English, Docker, Debian, IT support, IT, Linux, Cybersecurity, Network engineering, German, VPN;;0;none;0.92;0.92;;0;agile, cybersecurity, debian, docker, endpoint security, firewall, kubernetes, linux, mongodb, routing, siem, switching, virtual machines, vpn, vulnerability management, vulnerability scanning, windows;coaching, flexibility;;Associate;3;1;agile, cybersecurity, debian, docker, endpoint security, firewall, kubernetes, linux, mongodb, routing, siem, switching, virtual machines, vpn, vulnerability management, vulnerability scanning, windows;coaching, flexibility;;;50;Cyber Security Support Engineer (m/w/d);Home office;;Enginsight GmbH;19;EUR;ANNUAL;50000.0;50000.0;50000.0;;2025-09-18T00:00:00;Full-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;;;;;;;;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;;
Azure, Go, Kubernetes, Spark, Google Cloud Platform, Java, SQL, Docker, Machine learning, Terraform, REST, Cybersecurity, Python;machine learning;1;applied_ai;0.8;0.8;machine learning, MLOps, ETL/ELT pipelines, dbt, Kafka, Spark, databricks;1;azure, cybersecurity, data engineering, databricks, dbt, docker, elt, etl, gcp, information security, java, kafka, kubernetes, machine learning, measures, optimization, orchestration, python, rest, siem, soc, solid, spark, sql, terraform, threat intelligence;collaboration, communication, flexibility, innovation, mentoring, proactive, responsibility;;-;3;1;azure, cybersecurity, data engineering, databricks, dbt, docker, elt, etl, gcp, information security, java, kafka, kubernetes, machine learning, measures, optimization, orchestration, python, rest, siem, soc, solid, spark, sql, terraform, threat intelligence;collaboration, communication, flexibility, innovation, mentoring, proactive, responsibility;;;51;Cyber Security Specialist - Data & MLOps Engineer (f/m/d);Frankfurt am Main;11878.0;Deutsche Börse;38;EUR;;;;;4.2;2025-09-29T00:00:00;;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;Dr. Stephan Leithner;Eschborn, Deutschland;Börse;Finanzen;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1990.0;Unknown;Security;K;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;;
Information security, Computer networking, IT, Cybersecurity, German;;0;none;0.6;0.6;;0;cybersecurity, information security, networking;;;-;0;1;cybersecurity, information security, networking;;;;52;Junior IT Security Engineer (m/w/d);Braunschweig;2931623.0;dynexo GmbH;315;EUR;ANNUAL;36000.0;40500.0;45000.0;4.2;2025-09-25T00:00:00;;;Braunschweig;Niedersachsen;Germany;52.26249;10.520525;;Braunschweig, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
English, IT, Cybersecurity, German, VPN;;0;none;0.6;0.6;;0;cybersecurity, edr, firewall, ids, ips, vpn;flexibility, innovation, mentoring, teamwork;;-;-;1;cybersecurity, edr, firewall, ids, ips, vpn;flexibility, innovation, mentoring, teamwork;;;53;IT Solution Engineer - Cyber Security (m/w/d);Regensburg;7845279.0;ACP Group AG;3;EUR;;;;;4.6;2025-10-03T00:00:00;Full-time;;Regensburg;Bavaria;Germany;49.017445;12.097166;;Salvador, Brasilien;IT-Kundenbetreuung;Informationstechnologie;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Security;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
Jira, Azure, Operating systems, Kubernetes, Git, English, Google Cloud Platform, Windows, AWS, Terraform, Linux, Cybersecurity, Python, PowerShell, German, VPN;;0;none;0.6;0.6;;0;aws, azure, bash, ceh, comptia security+, computer vision, cybersecurity, data analytics, devops, dhcp, dns, edr, gcp, git, ids, incident response, infrastructure as code, ips, jira, kubernetes, linux, pandas, powershell, python, security operations, segment, siem, snowflake, soar, terraform, virtual machines, vpn, windows, xdr;flexibility;master;-;3;1;aws, azure, bash, ceh, comptia security+, computer vision, cybersecurity, data analytics, devops, dhcp, dns, edr, gcp, git, ids, incident response, infrastructure as code, ips, jira, kubernetes, linux, pandas, powershell, python, security operations, segment, siem, snowflake, soar, terraform, virtual machines, vpn, windows, xdr;flexibility;;;54;Cyber Security Engineer - Infrastructure (m/w/d);Berlin;1061700.0;DocMorris AG;45;EUR;;;;;3.9;2025-09-22T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;Walter Hess;Frauenfeld, Schweiz;Biotechnologie & Arzneimittel;Pharmazeutika & Biotechnologie;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Aktiengesellschaft;2000.0;Unknown;Security;Unknown;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;;
;;0;none;0.6;0.6;;0;computer vision, cybersecurity, network security, soc;;;-;2;1;computer vision, cybersecurity, network security, soc;;;;55;IT SECURITY ENGINEER;Frankfurt am Main;8262634.0;Zync Group;213;EUR;ANNUAL;80000.0;80000.0;80000.0;-0.100000001;2025-10-07T00:00:00;Full-time;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;;Manchester, Vereinigtes Königreich;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Security;Unknown;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, Nessus, IT, Cybersecurity, German;;0;none;0.6;0.6;;0;cybersecurity, oscp, penetration testing;innovation, mentoring;;-;0;1;cybersecurity, oscp, penetration testing;innovation, mentoring;;;56;(Junior) Cybersecurity Engineer Operational Technology (m/w/d);Braunschweig;1114161.0;ESE Engineering und Software-Entwicklung GmbH;83;EUR;ANNUAL;55000.0;67500.0;80000.0;4.4;2025-09-15T00:00:00;Full-time, Part-time;;Braunschweig;Niedersachsen;Germany;52.26249;10.520525;Klaus Janz;Braunschweig, Deutschland;;;5 bis 25 Millionen $ (USD);201 bis 500 Mitarbeiter;Unbekannt;1997.0;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
C#, English, C++, Software development, Linux, Cybersecurity, German;;0;none;0.6;0.6;;0;c#, c++, cybersecurity, iso27001, linux, owasp, software engineering;flexibility, innovation;;-;-;1;c#, c++, cybersecurity, iso27001, linux, owasp, software engineering;flexibility, innovation;;;57;Software Development Engineer (m/w/d) mit Schwerpunkt Cyber Security;Siegen;272233.0;Vanderlande Industries;118;EUR;;;;;4.1;2025-09-10T00:00:00;Full-time;;Siegen;Nordrhein-Westfalen;Germany;50.874557;8.024625;Andrew Manship;Veghel, Niederlande;Herstellung von Transportmitteln;Produktion;1 bis 5 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;1949.0;Unknown;Security;C;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;;
Jira, English, Virtualization, Ruby, Cybersecurity, Python, PowerShell;;0;none;0.6;0.6;;0;bash, cybersecurity, firewall, hyper-v, identity management, infrastructure as code, jira, linux, powershell, python, ruby, virtualization, windows;;;-;-;1;bash, cybersecurity, firewall, hyper-v, identity management, infrastructure as code, jira, linux, powershell, python, ruby, virtualization, windows;;;;58;Systems Engineer - Cyber Security (m/w/d);Kiel;2714.0;Anschütz GmbH;133;EUR;;;;;3.4;2025-09-27T00:00:00;;;Kiel;Schleswig-Holstein;Germany;54.321774;10.13727;Philip F. Anschutz;Denver, Vereinigte Staaten von Amerika;Anlage- & Vermögensverwaltung;Finanzen;1 bis 5 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1958.0;Unknown;Security;K;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;;
